academia cursor	akatemian vahtimestari	academy janitor
luffare	kulkuri	vagabond, tramp
lumpsamlare	lumppuri, lumpunkerääjä	rag collector
lydkonung	varakuningas	viceroy
lyriker	laulurunoilija	songwriter
lånebokhållare	velkakirjanpitäjä	promissory note book-keeper
lägenhets- innehafvare	talonomistaja	householder
läkare	lääkäri	doctor, physician
läkemedelskemist	farmaseutti	pharmaceutical chemist
länsbokhållare	lääninkirjuri	county scribe
länsherre	lääninherra	county governor
länsman	nimismies	sheriff, county constable
länsveterinär	läänineläinlääkari	county veterinary officer
lärare, lärarinna	opettaja	teacher
lärgosse, lärling, lärjunge	oppipoika	apprentice
läromästare	oppi-isä	master, teacher
lättmatros	puolimatruusi (toisella matkallaan oleva merimies)	seaman on his second trip
löftesman	takaaja	guarantor
löjtnant	luutnantti	lieutenant
